ID,Y,filename,sex,age,age_years,corpus,group,child_TNW,child_TNS,examiner_TNW,freq_ttr,r_2_i_verbs,mor_words,num_pos_tags,n_dos,repetition,retracing,fillers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,word_errors,,,,,,,,,total_error
1,1,413.cha,male,59,4.916666667,ENNI,SLI,212,66,14,0.412,5.142857143,194,25,0,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,12
2,1,420.cha,male,60,5,ENNI,SLI,468,67,2,0.239,1.366666667,385,34,1,47,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,9
3,1,427.cha,female,56,4.666666667,ENNI,SLI,212,67,8,0.369,0.6,195,31,3,13,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6
4,1,444.cha,male,50,4.166666667,ENNI,SLI,292,90,20,0.232,0.6,259,23,1,16,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,12
5,1,474.cha,female,57,4.75,ENNI,SLI,611,100,202,0.23,1,539,44,1,21,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,7
6,1,475.cha,male,56,4.666666667,ENNI,SLI,321,64,20,0.257,0.105263158,284,32,0,13,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,5
7,1,476.cha,male,57,4.75,ENNI,SLI,658,97,315,0.197,0.272727273,458,34,1,109,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,10
8,1,477.cha,male,56,4.666666667,ENNI,SLI,261,62,38,0.269,0.184210526,245,24,0,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,12
9,1,478.cha,male,54,4.5,ENNI,SLI,227,58,93,0.245,0.384615385,216,23,0,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,4
10,1,479.cha,female,57,4.75,ENNI,SLI,436,70,0,0.222,1.027777778,400,36,0,5,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,11
11,1,480.cha,male,52,4.333333333,ENNI,SLI,867,130,13,0.19,1.140625,712,38,8,46,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,24
12,1,482.cha,male,55,4.583333333,ENNI,SLI,316,62,22,0.322,1,258,34,1,23,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,19
13,1,523.cha,male,66,5.5,ENNI,SLI,480,106,2,0.278,1.324324324,410,44,4,41,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,12
14,1,527.cha,female,70,5.833333333,ENNI,SLI,714,115,31,0.225,0.850746269,672,48,7,13,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
15,1,529.cha,female,61,5.083333333,ENNI,SLI,757,77,0,0.299,2.113636364,442,41,3,230,11,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,5
16,1,531.cha,female,64,5.333333333,ENNI,SLI,186,58,4,0.368,0.733333333,144,23,0,33,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,9
17,1,535.cha,female,65,5.416666667,ENNI,SLI,426,70,2,0.251,1.571428571,379,37,1,19,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,13
18,1,567.cha,male,61,5.083333333,ENNI,SLI,499,68,25,0.264,0.333333333,390,34,0,21,44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2
19,1,568.cha,male,66,5.5,ENNI,SLI,288,61,44,0.317,1.391304348,265,31,0,5,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,18
20,1,569.cha,male,68,5.666666667,ENNI,SLI,453,77,7,0.316,1.21875,399,46,3,9,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,9
21,1,570.cha,male,70,5.833333333,ENNI,SLI,660,74,0,0.228,0.813953488,514,35,2,44,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7
22,1,572.cha,male,65,5.416666667,ENNI,SLI,930,144,54,0.189,0.728395062,867,42,2,12,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,11
23,1,573.cha,male,61,5.083333333,ENNI,SLI,337,61,89,0.273,0.916666667,300,39,0,14,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,37
24,1,574.cha,female,61,5.083333333,ENNI,SLI,591,68,2,0.221,0.530612245,493,43,1,27,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,27
25,1,575.cha,male,63,5.25,ENNI,SLI,728,91,19,0.193,0.516129032,580,36,0,68,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,10
26,1,576.cha,female,67,5.583333333,ENNI,SLI,384,74,10,0.284,0.805555556,363,41,3,9,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,9
27,1,607.cha,female,74,6.166666667,ENNI,SLI,711,81,0,0.185,0.75,644,35,0,31,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,8
28,1,609.cha,male,80,6.666666667,ENNI,SLI,880,128,12,0.223,1.014492754,772,47,11,53,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,19
29,1,611.cha,male,82,6.833333333,ENNI,SLI,529,68,22,0.259,0.285714286,409,47,0,28,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,12
30,1,613.cha,female,81,6.75,ENNI,SLI,326,61,7,0.281,0.315789474,306,31,0,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9
31,1,617.cha,male,79,6.583333333,ENNI,SLI,660,79,0,0.21,0.205128205,575,38,2,28,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,6
32,1,625.cha,female,80,6.666666667,ENNI,SLI,384,71,5,0.308,0.266666667,367,37,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,16
33,1,667.cha,male,78,6.5,ENNI,SLI,509,72,0,0.253,0.791666667,475,35,0,8,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,5
34,1,673.cha,female,83,6.916666667,ENNI,SLI,1258,132,0,0.15,0.669724771,984,44,10,86,82,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7
35,1,678.cha,male,83,6.916666667,ENNI,SLI,559,70,0,0.24,2.25,475,37,0,45,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,12
36,1,679.cha,female,81,6.75,ENNI,SLI,493,57,0,0.221,0.553191489,434,35,1,14,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5
37,1,680.cha,male,75,6.25,ENNI,SLI,288,59,3,0.364,0.159090909,264,33,1,12,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6
38,1,717.cha,male,89,7.416666667,ENNI,SLI,485,71,0,0.237,0.214285714,431,39,1,13,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,16
39,1,721.cha,male,88,7.333333333,ENNI,SLI,536,78,0,0.277,0.211267606,480,41,2,19,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,13
40,1,723.cha,male,88,7.333333333,ENNI,SLI,422,59,0,0.274,0.244897959,380,31,0,23,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,3
41,1,725.cha,female,95,7.916666667,ENNI,SLI,1668,189,0,0.157,0.455128205,1570,51,5,17,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4
42,1,727.cha,male,93,7.75,ENNI,SLI,471,69,2,0.267,0.541666667,409,30,1,18,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,9
43,1,729.cha,male,90,7.5,ENNI,SLI,625,130,9,0.301,0.797101449,545,38,8,34,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,8
